category,title,price,original_price,sale_price,discount,availability,variant,product_id,product_url,image_url,brand
kids,Art Tee,"Rs. 2,490","Rs. 2,490","Rs. 2,490",Pay 477 now (BaadMay),Available,btt0132,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0132,https://beoneshopone.com/cdn/shop/files/BTT0132-YLW4.jpg?v=1738839631&width=1080,One
kids,Cocktail Tee,"Rs. 2,490","Rs. 2,490","Rs. 2,490",Pay 477 now (BaadMay),Available,btt0131,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0131,https://beoneshopone.com/cdn/shop/files/BTT0131-GRN3.jpg?v=1738839619&width=1080,One
kids,Skater Tee,"Rs. 2,290","Rs. 2,290","Rs. 2,290",Pay 439 now (BaadMay),Available,btt0130,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0130,https://beoneshopone.com/cdn/shop/files/BTT0130-BRN2.jpg?v=1738904492&width=1080,One
kids,Hawaiian Shirt,"Rs. 2,690","Rs. 2,690","Rs. 2,690",Pay 516 now (BaadMay),Available,bts0095,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bts0095,https://beoneshopone.com/cdn/shop/files/BTS00952.jpg?v=1738855083&width=1080,One
kids,Hawaiian Shirt,"Rs. 2,690","Rs. 2,690","Rs. 2,690",Pay 516 now (BaadMay),Available,bts0094,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bts0094,https://beoneshopone.com/cdn/shop/files/BTS0094-ORG3.jpg?v=1738839444&width=1080,One
kids,Hawaiian Shirt,"Rs. 2,690","Rs. 2,690","Rs. 2,690",Pay 516 now (BaadMay),Available,bts0093,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bts0093,https://beoneshopone.com/cdn/shop/files/BTS0093-MLT1.jpg?v=1738839433&width=1080,One
kids,Hawaiian Shirt,"Rs. 2,690","Rs. 2,690","Rs. 2,690",Pay 516 now (BaadMay),Available,bts0088,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bts0088,https://beoneshopone.com/cdn/shop/files/BTS0088-MLT2.jpg?v=1738839420&width=1080,One
kids,Stripe Cuban Shirt,"Rs. 2,690","Rs. 2,690","Rs. 2,690",Pay 516 now (BaadMay),Available,bts0084,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bts0084,https://beoneshopone.com/cdn/shop/files/BTS0084-MLT1.jpg?v=1738839404&width=1080,One
kids,Surfer Polo,"Rs. 2,490","Rs. 2,490","Rs. 2,490",Pay 477 now (BaadMay),Available,btp0054,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btp0054,https://beoneshopone.com/cdn/shop/files/BTP00541.jpg?v=1738855070&width=1080,One
kids,Hawaiian Shorts,"Rs. 1,890","Rs. 1,890","Rs. 1,890",Pay 362 now (BaadMay),Available,bbs0044,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbs0044,https://beoneshopone.com/cdn/shop/files/BBS0044-ORG3.jpg?v=1738839344&width=1080,One
