category,title,price,original_price,sale_price,discount,variant,product_url,image_url,brand
men,Relaxed Interlock T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/relaxed-interlock-t-shirt-te2590,https://www.cougar.com.pk/cdn/shop/files/2_662368be-1814-4fe6-986c-e5f32c9ac203.webp?v=1756489518&width=533,Cougar
men,Back Printed T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/back-printed-t-shirt-te2591,https://www.cougar.com.pk/cdn/shop/files/5_43379fb8-5738-4933-b7da-7c7f3ab34f1d.webp?v=1756489516&width=533,Cougar
men,Graphic T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/graphic-t-shirt-te2593,https://www.cougar.com.pk/cdn/shop/files/5_68e69dcc-3ca4-4400-891b-3cd79b1e5967.webp?v=1756489512&width=533,Cougar
men,Graphic Print T-Shirt,"Rs.1,249","Rs.2,499","Rs.1,249",-50%,,https://www.cougar.com.pk/products/graphic-print-t-shirt-te2594,https://www.cougar.com.pk/cdn/shop/files/1_9e7d293d-25b2-4cc1-9907-2071d0217bc8.webp?v=1756489510&width=533,Cougar
men,Wide Fit Trousers,"Rs.3,249","Rs.6,499","Rs.3,249",-50%,,https://www.cougar.com.pk/products/wide-fit-trousers-tm2562,https://www.cougar.com.pk/cdn/shop/files/4_ec771bc4-df4a-4ddb-ab3f-0897ca49d49c.webp?v=1756489492&width=533,Cougar
men,Straight Cargo Trousers,"Rs.3,249","Rs.6,499","Rs.3,249",-50%,,https://www.cougar.com.pk/products/straight-cargo-trousers-tm2563,https://www.cougar.com.pk/cdn/shop/files/2_15771d9f-e85d-471d-9ce2-f9f1ca126f82.webp?v=1756489490&width=533,Cougar
men,Straight Fit Trousers,"Rs.3,249","Rs.6,499","Rs.3,249",-50%,,https://www.cougar.com.pk/products/straight-fit-trousers-tm2564,https://www.cougar.com.pk/cdn/shop/files/1_dc3ec4dc-f750-4ba3-8fdf-333c87843704.webp?v=1756489487&width=533,Cougar
men,Straight Fit Trousers,"Rs.3,249","Rs.6,499","Rs.3,249",-50%,,https://www.cougar.com.pk/products/straight-fit-trousers-tm2565,https://www.cougar.com.pk/cdn/shop/files/3_4a4826a0-c078-4df0-ad0a-a7a0d235fc03.webp?v=1756489485&width=533,Cougar
men,Jogger Fit Trousers,"Rs.3,249","Rs.6,499","Rs.3,249",-50%,,https://www.cougar.com.pk/products/jogger-fit-trousers-tm2566,https://www.cougar.com.pk/cdn/shop/files/2_9ef2fae0-c5db-4a84-9d43-872e3f6994c3.webp?v=1756489484&width=533,Cougar
men,Relaxed Trousers With Belt,"Rs.3,249","Rs.6,499","Rs.3,249",-50%,,https://www.cougar.com.pk/products/relaxed-trousers-with-belt-tm2567,https://www.cougar.com.pk/cdn/shop/files/1_0e2f0f56-60fd-467b-836e-ea1b3337427f.webp?v=1756489481&width=533,Cougar
men,Straight Fit Trousers,"Rs.3,249","Rs.6,499","Rs.3,249",-50%,,https://www.cougar.com.pk/products/straight-fit-trousers-tm2568,https://www.cougar.com.pk/cdn/shop/files/2_2101c047-ba97-4ffc-8000-d41c83e54fe9.webp?v=1756489479&width=533,Cougar
men,Straight Trousers,"Rs.3,249","Rs.6,499","Rs.3,249",-50%,,https://www.cougar.com.pk/products/straight-trousers-tm2569,https://www.cougar.com.pk/cdn/shop/files/2_249683ab-99c7-4f5d-9ae6-7a0b557e4e7c.webp?v=1756489477&width=533,Cougar
men,Straight Drawstring Trousers,"Rs.3,249","Rs.6,499","Rs.3,249",-50%,,https://www.cougar.com.pk/products/drawstring-trousers-tm2570,https://www.cougar.com.pk/cdn/shop/files/1_ac8f1b2d-d9d8-4a00-a5c8-25ded0ff1038.webp?v=1756489476&width=533,Cougar
men,Relaxed Fit Trosuers,"Rs.2,249","Rs.4,499","Rs.2,249",Sold out,,https://www.cougar.com.pk/products/relaxed-fit-trosuers-tm2581,https://www.cougar.com.pk/cdn/shop/files/1_092a2e01-bb4b-4ea1-976b-00f42e5d9733.webp?v=1756489473&width=533,Cougar
men,Textured Trousers,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/textured-trousers-tm2584,https://www.cougar.com.pk/cdn/shop/files/6_6a9b473a-9852-4af2-8b7f-67a7cd37a4ac.webp?v=1756489464&width=533,Cougar
men,Relaxed Fit Interlock Trousers,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/relaxed-fit-interlock-trousers-tm2585,https://www.cougar.com.pk/cdn/shop/files/1_20d64ec2-9fc1-48c5-a2f8-f1d0964556e5.webp?v=1756489461&width=533,Cougar
men,Straight Side Striped Trousers,"Rs.2,499","Rs.4,999","Rs.2,499",-50%,,https://www.cougar.com.pk/products/straight-side-striped-trousers-tm2587,https://www.cougar.com.pk/cdn/shop/files/2_40fe3aa6-9fb7-4288-b289-817e9047e8f1.webp?v=1756489457&width=533,Cougar
men,Text Printed T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",Sold out,,https://www.cougar.com.pk/products/text-printed-t-shirt-rte520,https://www.cougar.com.pk/cdn/shop/files/1_04f0bc35-368c-40e2-84aa-1b519ecc6747.webp?v=1756489420&width=533,Cougar
men,Textured Resort Collar Shirt,"Rs.2,499","Rs.4,999","Rs.2,499",-50%,,https://www.cougar.com.pk/products/textured-resort-collar-shirt-se2578,https://www.cougar.com.pk/cdn/shop/files/1_2fedf291-6bee-4f5c-a46c-473c44e41f25.webp?v=1756489417&width=533,Cougar
