category,title,price,original_price,sale_price,discount,variant,product_url,image_url,brand
women,Ripple Crinkle Dyed Co-Ord Set IUSTTS-839,"Rs.6,392","Rs.7,990","Rs.6,392",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-dyed-co-ord-set-iustts-839,https://www.gulahmedshop.com/cdn/shop/files/ripple_crinkle_dyed_co-ord_set_iustts-839_front_165x.jpg?v=1758379191,GulAhmed
women,Ripple Crinkle Dyed Co-Ord Set IUSTTS-957,"Rs.7,192","Rs.8,990","Rs.7,192",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-dyed-co-ord-set-iustts-957,https://www.gulahmedshop.com/cdn/shop/files/ripple_crinkle_dyed_co-ord_set_iustts-957_front_165x.jpg?v=1758379199,GulAhmed
women,Ripple Crinkle Dyed Co-Ord Set IUSTTS-1006,"Rs.6,392","Rs.7,990","Rs.6,392",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-dyed-co-ord-set-iustts-1006,https://www.gulahmedshop.com/cdn/shop/files/ripple_crinkle_dyed_co-ord_set_iustts-1006_front__2_165x.jpg?v=1758379195,GulAhmed
women,Ripple Crinkle Dyed Co-Ord Set IUSTTS-1063,"Rs.6,392","Rs.7,990","Rs.6,392",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-dyed-co-ord-set-iustts-1063,N/A,GulAhmed
women,Ripple Crinkle Dyed Co-Ord Set IUSTTS-846,"Rs.6,392","Rs.7,990","Rs.6,392",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-dyed-co-ord-set-iustts-846,N/A,GulAhmed
women,Ripple Crinkle Dyed Co-Ord Set IUSTTS-860,"Rs.6,392","Rs.7,990","Rs.6,392",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-dyed-co-ord-set-iustts-860,N/A,GulAhmed
women,3PC Lawn Printed Suit IUSTKSD-866,"Rs.6,490",,"Rs.6,490",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-iustksd-866,N/A,GulAhmed
women,Ripple Crinkle Embellished Co-Ord Set IUSTTS-1062,"Rs.7,192","Rs.8,990","Rs.7,192",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-embellished-co-ord-set-iustts-1062,N/A,GulAhmed
women,Ripple Crinkle Embroidered Co-Ord Set IUSTTS-1013,"Rs.6,392","Rs.7,990","Rs.6,392",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-embroidered-co-ord-set-iustts-1013,N/A,GulAhmed
women,3PC Jacquard Embroidered Suit IUSTKSD-910,"Rs.8,394","Rs.13,990","Rs.8,394",-40%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-jacquard-embroidered-suit-iustksd-910,N/A,GulAhmed
women,Ripple Crinkle Block Printed Co-Ord Set IUSTTS-958,"Rs.7,192","Rs.8,990","Rs.7,192",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-block-printed-co-ord-set-iustts-958,N/A,GulAhmed
women,3PC Lawn Lacquer Printed Suit IUSTKSD-586,"Rs.7,693","Rs.10,990","Rs.7,693",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-lacquer-printed-suit-iustksd-586,N/A,GulAhmed
women,3PC Jacquard Embroidered Suit IUSTKSD-951,"Rs.8,994","Rs.14,990","Rs.8,994",-40%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-jacquard-embroidered-suit-iustksd-951,N/A,GulAhmed
women,3PC Jacquard Embroidered Suit IUSTKSD-952,"Rs.7,194","Rs.11,990","Rs.7,194",-40%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-jacquard-embroidered-suit-iustksd-952,https://www.gulahmedshop.com/cdn/shop/files/3pc_jacquard_embroidered_suit_iustksd-952_front-2_165x.jpg?v=1758379194,GulAhmed
women,3PC Lawn Lacquer Printed Suit with Embroidered IUSTKSD-949,"Rs.10,493","Rs.14,990","Rs.10,493",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-lacquer-printed-suit-with-embroidered-iustksd-949,https://www.gulahmedshop.com/cdn/shop/files/3pc_lawn_lacquer_printed_suit_with_embroidered_iustksd-949_zoom_165x.jpg?v=1758379186,GulAhmed
women,3PC Munar Slub Printed Suit With Embroidered IUSTKSD-1020,"Rs.10,794","Rs.17,990","Rs.10,794",-40%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-munar-slub-printed-suit-with-embroidered-iustksd-1020,https://www.gulahmedshop.com/cdn/shop/files/3pc_munar_slub_printed_suit_with_embroidered_iustksd-1020_front-2_165x.jpg?v=1758379194,GulAhmed
women,3PC Lawn Printed Suit IUSTKSD-993,"Rs.5,990",,"Rs.5,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-iustksd-993,https://www.gulahmedshop.com/cdn/shop/files/3pc_lawn_printed_suit_iustksd-993_front_165x.jpg?v=1758379189,GulAhmed
women,3PC Lawn Printed Suit IUSTKSD-915,"Rs.5,990",,"Rs.5,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-iustksd-915,https://www.gulahmedshop.com/cdn/shop/files/3pc_lawn_printed_suit_iustksd-915_front-2_165x.jpg?v=1758379187,GulAhmed
women,3PC Lawn Printed Suit With Embroidered IUSTKSD-930,"Rs.7,693","Rs.10,990","Rs.7,693",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-with-embroidered-iustksd-930,N/A,GulAhmed
women,3PC Lawn Lacquer Printed Suit With Embroidered IUSTKSD-739,"Rs.10,194","Rs.16,990","Rs.10,194",-40%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-lacquer-printed-suit-with-embroidered-iustksd-739,N/A,GulAhmed
women,3PC Lawn Printed Suit IUSTKSD-865,"Rs.5,990",,"Rs.5,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-iustksd-865,N/A,GulAhmed
